Object	z	Line	NonParametric_Flux	NonParametric_Flux_std	Gaussian_Flux	Gaussian_Flux_std	a	a_std	b	b_std	d	d_std	s	s_std	mu	mu_std
4044	2.88072	feii2587	47.931845237732745	16.330921345283205	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0
4044	2.88072	feii2600	10.83487652776022	18.986103262314103	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0	-9999.0
4063	3.37283	feii2587	-29.55624991422452	7.265386278664537	-23.196332467455754	3.153889479751937	1.3039694314652297	0.06221609890012585	2.9999999997938787e-12	4.582575694614665e-12	-0.9963085201616776	0.1068542665276284	9.354456024792599	1.288200220979174	11310.299989295949	1.0873965248952824
4063	3.37283	feii2600	-48.31970491705903	5.967184387911708	-46.388048569319075	23.80182767010664	1.4227318375702	0.3072743516541346	4.095577143089919e-17	1.228663757285863e-16	-1.326616083429849	0.2818342874297786	13.299929112886067	3.6132274360913232	11365.088970492876	2.0032307406438257
10003	3.299055	feii2587	-39.81691734632504	5.746939864765925	-24.732974027092737	5.273808006398668	2.679747761525507	0.04341840415077597	2.000000000019376e-12	3.9999999999903104e-12	-1.158109027785938	0.2629086579118711	9.02789970075201	2.6458450971944165	11118.574911580281	3.1997435850976235
10003	3.299055	feii2600	-58.90668703337027	9.866876507516078	-42.52920922130083	6.401047641167952	2.700431014849211	0.09637579201072295	9.994457080308333e-13	2.998337118224108e-12	-1.5357103887443355	0.17622434807637255	11.25255326161744	2.6836904381227673	11182.389524360275	1.3725968894962226
10012	3.780502	feii2587	-52.51991921781259	7.157780936170418	-46.02973285875858	6.758203907343141	2.513063134274052	0.0710720861998706	8.185106205603491e-17	2.454437684392903e-16	-0.9771425184388107	0.14022556936726968	18.87907100739549	1.682030842130391	12375.06329426281	0.5350270461099218
10012	3.780502	feii2600	-66.50264254109665	5.943451867385986	-54.22158181861063	8.938677323483939	2.5411407669731334	0.11883814667929754	1.9999999999999996e-12	3.999999999999999e-12	-1.5463974355920431	0.12869872664161022	13.94112954964406	1.5561565075820278	12424.44490093744	0.9295459159869371
100002	3.4217	feii2587	-38.80372827347392	5.508197445296561	-23.027539679176197	2.745801810106745	2.6722206399422386	0.04087513216146771	2.7622418093930436e-26	8.048569875202372e-26	-1.3916313408200105	0.09878286178618217	6.627852924475907	0.8598726835564406	11432.197997554436	0.5302572304797444
100002	3.4217	feii2600	-44.40666031855734	6.3534230403861605	-51.89294396588183	11.967864872457712	2.9215586759142718	0.1295724440858477	9.999997730273346e-12	4.5465173280493226e-18	-1.440621791786862	0.15728133792787388	14.252723663322968	2.3411398843983315	11487.620019224527	0.703032838154456
200008	3.2032	feii2587	-58.79374721442285	11.46957769546803	-42.22644555858373	5.009336059829248	2.8682654097779134	0.07502445840289312	1.999703968196042e-12	3.999407988725736e-12	-1.8855387348283963	0.1447281145314477	8.97698589271051	1.2057994692967455	10880.778801344652	0.8293877920262608
200008	3.2032	feii2600	-78.10204810483103	9.618095678680644	-53.79568068300915	5.2224468942912425	2.849593411039351	0.06709045528984989	3.6831149873524364e-12	4.593596069462065e-12	-2.4106991709613554	0.12587976862687353	8.90266009207458	0.7320358764854126	10931.60133582356	0.8236583039618943
